Model;split;TN;FP;FN;TP;Precision;Recall;F1-Score;AUC;experiment_params;model_params;config_id;model_id
SVC;TRAIN;145017;254490;5198;12172;0.045645798801479;0.700748416810593;0.0857086525461919;0.5318691509219482;{'fix_skew': False, 'normalize': False, 'fix_missing_in_testing': True, 'numerical_features': True, 'categorical_features': True, 'diagnosis_features': True, 'intervention_features': True, 'use_idf': False, 'class_balanced': False, 'remove_outliers': True, 'under_sample_majority_class': False, 'over_sample_minority_class': False, 'smote_and_undersampling': False};{'model_name': 'SVC', 'C': 1.0, 'kernel': 'rbf', 'degree': 3, 'gamma': 'scale', 'coef0': 0.0, 'shrinking': True, 'probability': True, 'tol': 0.001, 'cache_size': 200, 'class_weight': None, 'verbose': False, 'max_iter': 5000, 'decision_function_shape': 'ovr', 'break_ties': False, 'random_state': None, 'configuration_ids': ['configuration_0']};configuration_0;model_0
SVC;TEST;36697;63654;1397;3136;0.0469531366971103;0.6918155746746084;0.0879379723230935;0.5287510076340626;{'fix_skew': False, 'normalize': False, 'fix_missing_in_testing': True, 'numerical_features': True, 'categorical_features': True, 'diagnosis_features': True, 'intervention_features': True, 'use_idf': False, 'class_balanced': False, 'remove_outliers': True, 'under_sample_majority_class': False, 'over_sample_minority_class': False, 'smote_and_undersampling': False};{'model_name': 'SVC', 'C': 1.0, 'kernel': 'rbf', 'degree': 3, 'gamma': 'scale', 'coef0': 0.0, 'shrinking': True, 'probability': True, 'tol': 0.001, 'cache_size': 200, 'class_weight': None, 'verbose': False, 'max_iter': 5000, 'decision_function_shape': 'ovr', 'break_ties': False, 'random_state': None, 'configuration_ids': ['configuration_0']};configuration_0;model_0
DecisionTreeClassifier;TRAIN;399503;4;188;17182;0.9997672524147562;0.9891767415083478;0.9944438013658988;0.9945833645840692;{'fix_skew': False, 'normalize': False, 'fix_missing_in_testing': True, 'numerical_features': True, 'categorical_features': True, 'diagnosis_features': True, 'intervention_features': True, 'use_idf': False, 'class_balanced': False, 'remove_outliers': True, 'under_sample_majority_class': False, 'over_sample_minority_class': False, 'smote_and_undersampling': False};{'model_name': 'DecisionTreeClassifier', 'criterion': 'gini', 'splitter': 'best', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0, 'max_features': None, 'random_state': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'class_weight': None, 'ccp_alpha': 0.0, 'configuration_ids': ['configuration_0']};configuration_0;model_1
DecisionTreeClassifier;TEST;96688;3663;4192;341;0.0851648351648351;0.0752261195676152;0.0798875483190816;0.5193621205804114;{'fix_skew': False, 'normalize': False, 'fix_missing_in_testing': True, 'numerical_features': True, 'categorical_features': True, 'diagnosis_features': True, 'intervention_features': True, 'use_idf': False, 'class_balanced': False, 'remove_outliers': True, 'under_sample_majority_class': False, 'over_sample_minority_class': False, 'smote_and_undersampling': False};{'model_name': 'DecisionTreeClassifier', 'criterion': 'gini', 'splitter': 'best', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0, 'max_features': None, 'random_state': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'class_weight': None, 'ccp_alpha': 0.0, 'configuration_ids': ['configuration_0']};configuration_0;model_1
LogisticRegression;TRAIN;399484;23;17356;14;0.3783783783783784;0.0008059873344847;0.0016085482851726;0.5003742081891407;{'fix_skew': False, 'normalize': False, 'fix_missing_in_testing': True, 'numerical_features': True, 'categorical_features': True, 'diagnosis_features': True, 'intervention_features': True, 'use_idf': False, 'class_balanced': False, 'remove_outliers': True, 'under_sample_majority_class': False, 'over_sample_minority_class': False, 'smote_and_undersampling': False};{'model_name': 'LogisticRegression', 'penalty': 'l2', 'dual': False, 'tol': 0.0001, 'C': 1.0, 'fit_intercept': True, 'intercept_scaling': 1, 'class_weight': None, 'random_state': None, 'solver': 'lbfgs', 'max_iter': 7000, 'multi_class': 'auto', 'verbose': 0, 'warm_start': False, 'n_jobs': None, 'l1_ratio': None, 'configuration_ids': ['configuration_0']};configuration_0;model_2
LogisticRegression;TEST;100350;1;4527;6;0.8571428571428571;0.00132362673726;0.0026431718061674;0.500656830857245;{'fix_skew': False, 'normalize': False, 'fix_missing_in_testing': True, 'numerical_features': True, 'categorical_features': True, 'diagnosis_features': True, 'intervention_features': True, 'use_idf': False, 'class_balanced': False, 'remove_outliers': True, 'under_sample_majority_class': False, 'over_sample_minority_class': False, 'smote_and_undersampling': False};{'model_name': 'LogisticRegression', 'penalty': 'l2', 'dual': False, 'tol': 0.0001, 'C': 1.0, 'fit_intercept': True, 'intercept_scaling': 1, 'class_weight': None, 'random_state': None, 'solver': 'lbfgs', 'max_iter': 7000, 'multi_class': 'auto', 'verbose': 0, 'warm_start': False, 'n_jobs': None, 'l1_ratio': None, 'configuration_ids': ['configuration_0']};configuration_0;model_2
RandomForestClassifier;TRAIN;399497;10;206;17164;0.999417724467218;0.988140472078296;0.9937471051412692;0.9940577206138864;{'fix_skew': False, 'normalize': False, 'fix_missing_in_testing': True, 'numerical_features': True, 'categorical_features': True, 'diagnosis_features': True, 'intervention_features': True, 'use_idf': False, 'class_balanced': False, 'remove_outliers': True, 'under_sample_majority_class': False, 'over_sample_minority_class': False, 'smote_and_undersampling': False};{'model_name': 'RandomForestClassifier', 'n_estimators': 100, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'bootstrap': True, 'oob_score': False, 'n_jobs': None, 'random_state': None, 'verbose': 0, 'warm_start': False, 'class_weight': None, 'ccp_alpha': 0.0, 'max_samples': None, 'configuration_ids': ['configuration_0']};configuration_0;model_3
RandomForestClassifier;TEST;100261;90;4488;45;0.3333333333333333;0.0099272005294506;0.0192802056555269;0.5045151742400719;{'fix_skew': False, 'normalize': False, 'fix_missing_in_testing': True, 'numerical_features': True, 'categorical_features': True, 'diagnosis_features': True, 'intervention_features': True, 'use_idf': False, 'class_balanced': False, 'remove_outliers': True, 'under_sample_majority_class': False, 'over_sample_minority_class': False, 'smote_and_undersampling': False};{'model_name': 'RandomForestClassifier', 'n_estimators': 100, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.0, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'bootstrap': True, 'oob_score': False, 'n_jobs': None, 'random_state': None, 'verbose': 0, 'warm_start': False, 'class_weight': None, 'ccp_alpha': 0.0, 'max_samples': None, 'configuration_ids': ['configuration_0']};configuration_0;model_3
MLPClassifier;TRAIN;399466;41;17045;325;0.8879781420765027;0.0187104202648244;0.0366486242670275;0.5093038968888396;{'fix_skew': False, 'normalize': False, 'fix_missing_in_testing': True, 'numerical_features': True, 'categorical_features': True, 'diagnosis_features': True, 'intervention_features': True, 'use_idf': False, 'class_balanced': False, 'remove_outliers': True, 'under_sample_majority_class': False, 'over_sample_minority_class': False, 'smote_and_undersampling': False};{'model_name': 'MLPClassifier', 'hidden_layer_sizes': [100], 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'batch_size': 'auto', 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'power_t': 0.5, 'max_iter': 1000, 'shuffle': True, 'random_state': None, 'tol': 0.0001, 'verbose': False, 'warm_start': False, 'momentum': 0.9, 'nesterovs_momentum': True, 'early_stopping': False, 'validation_fraction': 0.1, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'n_iter_no_change': 10, 'max_fun': 15000, 'configuration_ids': ['configuration_0']};configuration_0;model_4
MLPClassifier;TEST;100268;83;4516;17;0.17;0.0037502757555702;0.007338657457371;0.5014615894328269;{'fix_skew': False, 'normalize': False, 'fix_missing_in_testing': True, 'numerical_features': True, 'categorical_features': True, 'diagnosis_features': True, 'intervention_features': True, 'use_idf': False, 'class_balanced': False, 'remove_outliers': True, 'under_sample_majority_class': False, 'over_sample_minority_class': False, 'smote_and_undersampling': False};{'model_name': 'MLPClassifier', 'hidden_layer_sizes': [100], 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'batch_size': 'auto', 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'power_t': 0.5, 'max_iter': 1000, 'shuffle': True, 'random_state': None, 'tol': 0.0001, 'verbose': False, 'warm_start': False, 'momentum': 0.9, 'nesterovs_momentum': True, 'early_stopping': False, 'validation_fraction': 0.1, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'n_iter_no_change': 10, 'max_fun': 15000, 'configuration_ids': ['configuration_0']};configuration_0;model_4
