Feature Name,Score,Code Description
Direct Entry,-1.15507174865581,N/A
Emergency Entry,-1.073333594729625,N/A
z38000,-0.6618672543810845,"{'Singleton, born in hospital, product of both spontaneous (NOS) ovulation and conception, delivered v'}"
male,0.5997109582232615,N/A
1ta52ha,-0.593947020928845,"{'Drainage, shoulder joint using percutaneous (needle) aspiration'}"
female,0.5686370864044344,N/A
1da58la,-0.5645710294046316,"{'Procurement, external ear NEC using open approach'}"
n813,-0.5627995013468805,{'Complete uterovaginal prolapse'}
1rf51lalv,-0.5166801230888757,"{'Occlusion, fallopian tube open approach using ligature (and transection or resection)'}"
1sq74lanw,-0.5016997847136686,"{'Fixation, pelvis using fixation device alone using screw, screw with plate (with/without wire, pin o'}"
m1196,-0.46848044923067855,"{'Crystal arthropathy, unspecified, lower leg'}"
elective admission,-0.4633495791059088,N/A
1sm87la,-0.45894942654202586,"{'Excision partial, clavicle using open approach'}"
z38010,-0.4573553525888423,"{'Singleton born in hospital, product of both spontaneous (NOS) ovulation and conception, delivered by'}"
s408,-0.4538040038671466,{'Other superficial injuries of shoulder and upper arm'}
Day Surgery Entry,-0.434571588338282,N/A
g632,-0.4305466925415161,{'Diabetic polyneuropathy'}
1cm89pfv0,-0.4278370233191003,"{'Excision total, vitreous using posterior approach with gas replacement (e.g. nitrogen, perfluorocarb', 'Excision total, vitreous using posterior approach with mechanical vitrectomy with gas replacement (e'}"
Clinic Entry,-0.42382143087554364,N/A
d733,-0.4168720985436871,{'Abscess of spleen'}
s92301,-0.3852214503700558,"{'Fracture of metatarsal bone(s), open'}"
e1141,0.3823320887893375,{'Type 2 diabetes mellitus with polyneuropathy'}
1fj87la,-0.3801031567493225,"{'Excision partial, tongue open approach [e.g. transoral or labiomandibular approach] no tissue used f'}"
1yg52hats,-0.3690076247597441,"{'Drainage, skin of neck using percutaneous approach with drainage tube left in situ'}"
l987,-0.3549570004126308,{'Excessive and redundant skin and subcutaneous tissue'}
urgent admission,-0.3540787482004463,N/A
i608,-0.3451713430017464,"{'Arteriovenous malformation of cerebral vessels', 'Other subarachnoid haemorrhage'}"
o65401,-0.32856107327832146,"{'Obstructed labour due to fetopelvic disproportion, unspecified, delivered, with or without mention o'}"
z348,-0.32616625899267676,{'Supervision of other normal pregnancy'}
j381,-0.3230308780158754,{'Polyp of vocal cord and larynx'}
1vq55lalq,-0.316997065594734,"{'Removal of device, tibia and fibula of plate/screw using open approach', 'Removal of device, tibia and fibula of intramedullary nail using open approach'}"
i713,-0.31549907929799953,"{'Abdominal aortic aneurysm, ruptured'}"
1qm89la,-0.3154576081281009,"{'Excision total, testis, using scrotal incision without scrotal implant'}"
1tb52wk,-0.31449178887440005,"{'Drainage, acromioclavicular and sternoclavicular joints using open incisional technique [e.g. bursot'}"
d738,-0.30488394650259426,{'Other diseases of spleen'}
s258,-0.30361193712938317,{'Injury of other blood vessels of thorax'}
1gw87la,-0.29776461824034267,"{'Excision partial, mediastinum using open approach'}"
g589,-0.29714870642764396,"{'Mononeuropathy, unspecified'}"
g4091,-0.2967407383908269,"{'Epilepsy, unspecified, intractable'}"
