Description,Accuracy,Precision,Recal,F1-Score,AUC,TN,TP,FN,FP,split
urgent=0,0.75,0.04220092120004979,0.5215384615384615,0.07808361165495795,0.6712862852799097,23676,339,311,7694,train
Urgent=1 -> Unplanned Readmit=0,0.4390839149392104,0.05905360840555257,0.7227784730913642,0.10918630208210241,0.578430120228446,27196,2310,886,36807,train
Urgent=1 -> Unplanned Readmit=1 -> day surgery=0,0.32184950135992746,0.165625,0.9137931034482759,0.2804232804232804,0.5807110355791898,837,583,55,2937,train
Urgent=1 -> Unplanned Readmit=1 -> day surgery=1,0.6320830007980845,0.0743801652892562,0.7346938775510204,0.1350844277673546,0.6887246592989356,756,36,13,448,train
all,0.5313775218336448,0.06388552214880557,0.7209353628943305,0.11737030186578554,0.6121267967347692,52465,3268,1265,47886,train
urgent=0,0.75,0.04220092120004979,0.5215384615384615,0.07808361165495795,0.6712862852799097,23676,339,311,7694,test
Urgent=1 -> Unplanned Readmit=0,0.4390839149392104,0.05905360840555257,0.7227784730913642,0.10918630208210241,0.578430120228446,27196,2310,886,36807,test
Urgent=1 -> Unplanned Readmit=1 -> day surgery=0,0.32184950135992746,0.165625,0.9137931034482759,0.2804232804232804,0.5807110355791898,837,583,55,2937,test
Urgent=1 -> Unplanned Readmit=1 -> day surgery=1,0.6320830007980845,0.0743801652892562,0.7346938775510204,0.1350844277673546,0.6887246592989356,756,36,13,448,test
all,0.5313775218336448,0.06388552214880557,0.7209353628943305,0.11737030186578554,0.6121267967347692,52465,3268,1265,47886,test
urgent=0,0.7800936891415338,0.047472110135295516,0.547945205479452,0.08737439930100481,0.694913701717732,14621,200,165,4013,heldout
Urgent=1 -> Unplanned Readmit=0,0.46680579618837614,0.06269292176689728,0.7268613739201975,0.11542984060621896,0.5983071058605914,21943,1767,664,26418,heldout
Urgent=1 -> Unplanned Readmit=1 -> day surgery=0,0.28982616129951555,0.1422579517651171,0.9146067415730337,0.24621899576527528,0.5652902866195324,610,407,38,2454,heldout
Urgent=1 -> Unplanned Readmit=1 -> day surgery=1,0.6203208556149733,0.08021390374331551,0.7317073170731707,0.14457831325301204,0.6720685327658646,550,30,11,344,heldout
all,0.5405536472014548,0.0674655515954312,0.732480195003047,0.12355132982140563,0.6282562742716632,37724,2404,878,33229,heldout
