Model;fix_skew;normalize;fix_missing_in_testing;numerical_features;categorical_features;diagnosis_features;intervention_features;use_idf;class_balanced;remove_outliers;split;TN;FP;FN;TP;Precision;Recall;F1-Score;AUC
LogisticRegression(class_weight='balanced', max_iter=7000);False;False;True;True;False;False;False;False;True;False;TRAIN;181788;219949;6730;10672;0.046275057345168;0.613262843351339;0.0860565350794079;0.532883920200824
LogisticRegression(class_weight='balanced', max_iter=7000);False;False;True;True;False;False;False;False;True;False;TEST;45224;55127;1753;2780;0.0480080128481876;0.6132803882638429;0.0890454836643177;0.5319692890089032
LogisticRegression(class_weight='balanced', max_iter=7000);False;True;True;True;False;False;False;False;True;False;TRAIN;181768;219969;6727;10675;0.0462834498187683;0.6134352373290426;0.0860727445715714;0.5329452252827814
LogisticRegression(class_weight='balanced', max_iter=7000);False;True;True;True;False;False;False;False;True;False;TEST;45219;55132;1751;2782;0.0480367441378595;0.613721597176263;0.0890995564238474;0.5321649809081881
LogisticRegression(class_weight='balanced', max_iter=7000);True;True;True;True;False;False;False;False;True;False;TRAIN;225206;176531;7287;10115;0.0541934999946422;0.581255028157683;0.0991433388222379;0.5709178532808568
LogisticRegression(class_weight='balanced', max_iter=7000);True;True;True;True;False;False;False;False;True;False;TEST;56076;44275;1910;2623;0.0559298904004435;0.5786454886388706;0.1020007388539985;0.5687220527468551
LogisticRegression(class_weight='balanced', max_iter=7000);True;True;True;True;False;False;False;False;True;True;TRAIN;225078;174429;7339;10031;0.0543803534641656;0.577489925158319;0.099400485557152;0.570439651282987
LogisticRegression(class_weight='balanced', max_iter=7000);True;True;True;True;False;False;False;False;True;True;TEST;56465;43886;1924;2609;0.0561135605979137;0.5755570262519303;0.1022575840714901;0.5691160184821649
LogisticRegression(class_weight='balanced', max_iter=7000);False;False;True;False;True;False;False;False;True;False;TRAIN;231623;170114;5390;12012;0.065954339303559;0.6902654867256637;0.120404153802975;0.6334096508918869
LogisticRegression(class_weight='balanced', max_iter=7000);False;False;True;False;True;False;False;False;True;False;TEST;58010;42341;1435;3098;0.0681793173265256;0.6834326053386278;0.1239894340830865;0.6307517881153982
LogisticRegression(class_weight='balanced', max_iter=7000);False;False;True;False;False;True;False;True;True;False;TRAIN;262718;139019;4633;12769;0.084123909663478;0.7337662337662337;0.1509427271115314;0.6938607166561026
LogisticRegression(class_weight='balanced', max_iter=7000);False;False;True;False;False;True;False;True;True;False;TEST;65340;35011;1676;2857;0.0754462871025668;0.6302669313920142;0.1347609726185703;0.6406907595944237
LogisticRegression(class_weight='balanced', max_iter=7000);False;False;True;False;False;False;True;True;True;False;TRAIN;145295;256442;2300;15102;0.0556152962319182;0.8678312837604873;0.104531642590657;0.6147491224906928
LogisticRegression(class_weight='balanced', max_iter=7000);False;False;True;False;False;False;True;True;True;False;TEST;36030;64321;848;3685;0.0541863953180601;0.8129274211339069;0.1016005183418575;0.5859835957698911
LogisticRegression(class_weight='balanced', max_iter=7000);True;True;True;True;True;True;True;True;True;True;TRAIN;270678;128829;4059;13311;0.0936471084845926;0.7663212435233161;0.1668986270453263;0.721925649658541
LogisticRegression(class_weight='balanced', max_iter=7000);True;True;True;True;True;True;True;True;True;True;TEST;67699;32652;1712;2821;0.0795252727426493;0.6223251709684535;0.141028845673149;0.6484736237399491
LogisticRegression(class_weight='balanced', max_iter=7000);True;True;True;True;True;True;True;False;True;True;TRAIN;268478;131029;4114;13256;0.0918737221471393;0.7631548647092689;0.1640035878877857;0.7175890666939577
LogisticRegression(class_weight='balanced', max_iter=7000);True;True;True;True;True;True;True;False;True;True;TEST;67208;33143;1678;2855;0.0793099616645369;0.6298257224795941;0.1408798203843971;0.6497774864054656
LogisticRegression(class_weight='balanced', max_iter=7000);False;True;True;True;True;True;True;True;True;True;TRAIN;270824;128683;4048;13322;0.0938135981127425;0.7669545192861255;0.1671780392156862;0.7224250127487655
LogisticRegression(class_weight='balanced', max_iter=7000);False;True;True;True;True;True;True;True;True;True;TEST;67783;32568;1713;2820;0.0796880298406239;0.6221045665122436;0.141279026076501;0.6487818524681874
LogisticRegression(class_weight='balanced', max_iter=7000);True;False;True;True;True;True;True;True;True;True;TRAIN;266766;132741;4392;12978;0.0890618244703847;0.7471502590673575;0.159152364659787;0.7074441230682101
LogisticRegression(class_weight='balanced', max_iter=7000);True;False;True;True;True;True;True;True;True;True;TEST;66809;33542;1658;2875;0.0789466457972924;0.6342378116037944;0.1404151404151404;0.6499955089249354
LogisticRegression(class_weight='balanced', max_iter=7000);True;True;True;True;True;True;True;True;True;False;TRAIN;272365;129372;4052;13350;0.093538487409089;0.7671532007815194;0.1667457720266793;0.7225608114542167
LogisticRegression(class_weight='balanced', max_iter=7000);True;True;True;True;True;True;True;True;True;False;TEST;67607;32744;1709;2824;0.0793972109761583;0.6229869843370837;0.1408443679708735;0.6483461393768407
LogisticRegression(class_weight='balanced', max_iter=7000);False;False;True;True;True;True;True;False;True;False;TRAIN;261299;140438;4718;12684;0.0828359086218832;0.7288817377312953;0.1487649832281673;0.689652387844482
LogisticRegression(class_weight='balanced', max_iter=7000);False;False;True;True;True;True;True;False;True;False;TEST;65444;34907;1503;3030;0.0798692569259561;0.6684315023163467;0.1426889569107605;0.660291226240634
LogisticRegression(class_weight='balanced', max_iter=7000);False;False;True;True;True;True;True;True;True;False;TRAIN;266705;135032;4638;12764;0.08636228314704052;0.7334789104700609;0.15452971585612416;0.6986792566473973
LogisticRegression(class_weight='balanced', max_iter=7000);False;False;True;True;True;True;True;True;True;False;TEST;66478;33873;1591;2942;0.07991307890805378;0.6490183101698654;0.14230434362000582;0.6557365469395231
