Description,Accuracy,Precision,Recal,F1-Score,AUC,TN,TP,FN,FP,Experiment config,Model config
BRF1 - On training,0.6731310979799368,0.1132160507257638,0.9964437149500752,0.2033297514548473,0.9918324800029696,330828,21855,78,171183,configuration_93,model_312
BRF2 - On training,0.9969522519471724,0.9996595165134492,0.9942431425668812,0.996943972835314,0.9988918520178908,50184,49912,289,17,configuration_91,model_305
MLP1 - On training,0.7431274900398407,0.7392802128553424,0.7511667615253272,0.7451760886442234,0.8311624159512856,25831,26396,8744,9309,configuration_67,model_263
DT2 - On training,0.723382004342543,0.7833821894268674,0.617517579331089,0.6906308132734786,0.8053707062093164,41629,31000,19201,8572,configuration_91,model_308
LR - On training,0.7019223428458004,0.0952708284341214,0.7203756896001459,0.1682856169052488,0.7824026306840403,351968,15800,6133,150043,configuration_93,model_316
BNB1 - On training,0.8633747118012612,0.1112207344765484,0.323804313135458,0.1655709423229356,0.72613549666484,445258,7102,14831,56753,configuration_94,model_317
BNB2 - On training,0.8343849724398027,0.1004338287855259,0.3715406009209866,0.1581240116036518,0.7149750100027703,429022,8149,13784,72989,configuration_93,model_317
BRF1 - On heldout,0.6526571024449384,0.0832623430497425,0.6849482023156612,0.1484759420098411,0.7292220817046944,46202,2248,1034,24751,configuration_93,model_312
BRF2 - On heldout,0.8885700814979457,0.1175659104843654,0.2336989640463132,0.1564348358148072,0.7186728813873606,65196,767,2515,5757,configuration_91,model_305
MLP1 - On heldout,0.6650636492220651,0.0768898996235884,0.597501523461304,0.1362467866323907,0.6840861421830399,47410,1961,1321,23543,configuration_67,model_263
DT2 - On heldout,0.7705260321950562,0.0767526312550009,0.3799512492382693,0.1277075119053715,0.6684449034861185,55953,1247,2035,15000,configuration_91,model_308
LR - On heldout,0.71718192227386,0.0848061506727298,0.5511882998171846,0.1469954901881119,0.6982484469961762,51431,1809,1473,19522,configuration_93,model_316
BNB1 - On heldout,0.8571428571428571,0.0904820489878089,0.2464960390006093,0.1323733944203551,0.6913793741963732,62821,809,2473,8132,configuration_94,model_317
DT1 - On training,0.608511596659185,0.0742992326533647,0.7288560616422742,0.1348517440634358,0.7302840463232678,302840,15986,5947,199171,configuration_93,model_315
DT1 - On heldout,0.6089849801306662,0.0739698825086877,0.6809872029250457,0.1334447861002477,0.7027113020624162,42973,2235,1047,27980,configuration_93,model_315
BNB2 - On heldout,0.869253047753755,0.09176410777834265,0.21998781230956735,0.1295067264573991,0.6858689245010341,63807,722,2560,7146,configuration_93,model_317
