Description,Precision,Recal,F1-Score,AUC,TN,TP,FN,FP,Experiment config,Model config
TRAIN,0.057761451616769335,0.5539018503620273,0.10461368150294661,0.600781757871311,244500,9639,7763,157237,configuration_27,model_301
TEST,0.05945220579425367,0.5473196558570483,0.10725402040463426,0.5966822469017271,61101,2481,2052,39250,configuration_27,model_301
TRAIN,0.059743101305605804,0.7154924721296403,0.11027806439898853,0.6488810893888096,205779,12451,4951,195958,configuration_28,model_301
TEST,0.06203003922318952,0.7151996470328701,0.11415894925877672,0.6495794543855677,51328,3242,1291,49023,configuration_28,model_301
TRAIN,0.05976457557046458,0.7069302379036893,0.11021174236146261,0.6502119086855103,208198,12302,5100,193539,configuration_87,model_301
TEST,0.06206322473236928,0.7072578866093095,0.11411283146467344,0.6504625723780125,51900,3206,1327,48451,configuration_87,model_301
TRAIN,0.04356020996480792,0.9694862659464429,0.08337430968236122,0.5241528557795754,31305,16871,531,370432,configuration_85,model_301
TEST,0.04529699395489901,0.9686741672181778,0.08654689517201958,0.5236498601578434,7804,4391,142,92547,configuration_85,model_301
TRAIN,0.045283721920579154,0.9777037122169866,0.08655837119265775,0.5427585335150562,43031,17014,388,358706,configuration_86,model_301
TEST,0.047312903809513675,0.9805868078535186,0.09027030320261571,0.5445241548074047,10847,4445,88,89504,configuration_86,model_301
TRAIN,0.059779349749659955,0.7046316515343064,0.11020883234542046,0.6500466997748977,208878,12262,5140,192859,configuration_82,model_301
TEST,0.06194741853370383,0.7032870063975293,0.11386527609114938,0.649122583482253,52076,3188,1345,48275,configuration_82,model_301
