variable,importances_mean,importances_std
age,0.0577894059907144,0.0031362288884906058
cmg,0.056165982419841554,0.0048619416556198005
case_weight,0.0543562225905979,0.002710014528353926
New Acute Patient,0.05202525714476082,0.005797286472786758
acute_days,0.04794525590879548,0.0019773489523952936
level 1 comorbidity,0.02213909631139186,0.0013723940767235855
male,0.017698746002122935,0.0018170323069823637
Direct Entry,0.017304745841350878,0.0012682874910522714
female,0.016062347209216933,0.001753546638248796
Emergency Entry,0.01569388711339579,0.0012442330323066675
urgent admission,0.01353583611485889,0.0014933921586906564
Cardiology,0.011534501658535201,0.0007342028683313275
Panned Readmit,0.01053578373117181,0.0013293146857613976
General Surgery,0.009842822384780703,0.0008667663242069754
level 2 comorbidity,0.009807252171448722,0.0008704856652818765
Orthopaedic Surgery,0.009230126365385694,0.0012882396557112909
elective admission,0.009145576197625137,0.0013101099058297394
transfusion given,0.008835921015055892,0.0008206916903788089
Unplanned Readmit,0.007165907344603373,0.00033969847680133245
Neurosurgery,0.007089081960192834,0.0005974643115798659
Urology,0.00628788915708377,0.0003692984518481204
Family Practice,0.006134286668158584,0.000665124854766646
General Medicine,0.0057335273219552675,0.00041736868507426874
level 3 comorbidity,0.004766167187003334,0.00048535696722256863
Haematology,0.0042061686740240915,0.0001018480940446257
Thoracic Surgery,0.0038582033940284476,0.00013279703359805607
Cardiovascular Surgery,0.002842321963659322,0.0004448004044721344
Gynaecology,0.00258187606502438,0.00012433735292279136
Neurology,0.0020300609944065794,0.0007346999637498461
level 4 comorbidity,0.001916542889083528,0.00026423814198432824
a099,0.0013988979148154778,6.274114700538775e-05
Psychiatry,0.0012590431262585189,0.0002697738702903721
Otolaryngology and ORL,0.000945296222508596,0.0003884286364094029
is alc,0.0008022549608197149,0.0003484061708097206
Gastro-Enterology,0.0007660208989186068,2.692037167247062e-06
Day Surgery Entry,0.000741567131626275,0.0002622807371427457
Plastic Surgery,0.0007213016453065047,0.00014537216166309378
Clinic Entry,0.0004964500999515287,0.00012073346407120435
Oncology,0.0004215559113784462,4.605979248773821e-05
Palliative Care,0.00039772978273330264,4.661428953270335e-05
Transplant Surgery,0.00032086818840078025,3.554959583852217e-05
alc_days,0.00030596177053006103,0.0001069877816577805
Oral Surgery,0.00028416339751428097,0.0002083402265163408
Geriatrics,0.00023648700027597557,1.0522920085858616e-05
Ophthalmology,0.00020152028564324187,6.90677871855133e-05
a047,0.00019381964224119975,3.129340887144962e-05
Nephrology,0.00017484564313777762,7.915400226524366e-06
a083,0.00011809262546320642,2.9168410108979786e-07
a084,3.550986346211316e-05,3.3444066238935597e-06
a020,1.7260062798341024e-06,1.7640753197678378e-06
Alternate Level of Care,5.672887772978364e-07,1.8823355648945231e-06
a090,1.2069973986950089e-08,3.620992196085027e-08
Paediatric Otolaryngology and ,0.0,0.0
a085,0.0,0.0
Dentistry,0.0,0.0
a1500,0.0,0.0
Rehab in Acute Care Hospital,0.0,0.0
Paediatric Dermatology,0.0,0.0
Paediatric Medicine,0.0,0.0
Neonatology,0.0,0.0
Paediatric Orthopaedic Surgery,0.0,0.0
Respirology,0.0,0.0
OBS Delivered,0.0,0.0
Genetics,0.0,0.0
Paediatric Endocrinology,0.0,0.0
Endocrinology,0.0,0.0
Allergy,0.0,0.0
a080,0.0,0.0
a1501,0.0,0.0
Paediatric Traumatology,0.0,0.0
OBS Aborted,0.0,0.0
Rheumatology,0.0,0.0
Paediatric Psychiatry,0.0,0.0
Paediatric Surgery,0.0,0.0
Dermatology,0.0,0.0
Infectious Disease,0.0,0.0
OBS Antepartum,0.0,0.0
OBS Postpartum,0.0,0.0
Radiotherapy,0.0,0.0
Paediatric Gynaecology,0.0,0.0
a010,0.0,0.0
COVID Pandemic,0.0,0.0
a021,0.0,0.0
a022,0.0,0.0
a158,0.0,0.0
a028,0.0,0.0
a029,0.0,0.0
a044,0.0,0.0
is central zone,0.0,0.0
a048,0.0,0.0
a049,0.0,0.0
a054,0.0,0.0
a1620,0.0,0.0
a059,0.0,0.0
a071,0.0,0.0
a072,0.0,0.0
a151,0.0,0.0
Newborn,-1.2069973975847858e-08,3.620992192754358e-08
a045,-1.6897963577289233e-07,5.06938907318677e-07
a081,-5.431488292573228e-07,1.5364939399499112e-06
