Split;Precision;Recal;F1-Score;AUC;TN;TP;FN;FP;pytorch_config_name;experiment_config_name
TRAIN;0.0;0.0;0.0;0.6929653623078875;299625;0;13033;0;pytorch_conf1;configuration_15
TEST;0.0;0.0;0.0;0.6921409327779678;100351;0;4533;0;pytorch_conf1;configuration_15
TRAIN;0.0;0.0;0.0;0.6825999798144058;299625;0;13033;0;pytorch_conf2;configuration_15
TEST;0.0;0.0;0.0;0.684456320723262;100351;0;4533;0;pytorch_conf2;configuration_15
TRAIN;1.0;7.672830507174097e-05;0.0001534448365812;0.6988552015244764;299625;1;13032;0;pytorch_conf3;configuration_15
TEST;0.0;0.0;0.0;0.6918555117071838;100347;0;4533;4;pytorch_conf3;configuration_15
TRAIN;1.0;0.0002301849152152;0.0004602638846271;0.7093147285279263;299625;3;13030;0;pytorch_conf4;configuration_15
TEST;0.0;0.0;0.0;0.7009006450451789;100344;0;4533;7;pytorch_conf4;configuration_15
TRAIN;0.0;0.0;0.0;0.6891748307727943;299625;0;13033;0;pytorch_conf5;configuration_15
TEST;0.0;0.0;0.0;0.6905245656354183;100351;0;4533;0;pytorch_conf5;configuration_15
TRAIN;1.0;0.0003069132202869;0.0006136381069264;0.7016199818304045;299625;4;13029;0;pytorch_conf6;configuration_15
TEST;0.0;0.0;0.0;0.6944488313920192;100351;0;4533;0;pytorch_conf6;configuration_15
TRAIN;0.8333333333333334;0.0007672830507174;0.0015331544653123;0.705053309270671;299623;10;13023;2;pytorch_conf7;configuration_15
TEST;0.0;0.0;0.0;0.6950278381253738;100325;0;4533;26;pytorch_conf7;configuration_15
TRAIN;1.0;0.0004603698304304;0.0009203159751514;0.7124194899369884;299625;6;13027;0;pytorch_conf8;configuration_15
TEST;0.0;0.0;0.0;0.7028317292823258;100342;0;4533;9;pytorch_conf8;configuration_15
TRAIN;1.0;7.672830507174097e-05;0.0001534448365812;0.6634622509062952;299625;1;13032;0;pytorch_conf9;configuration_23
TEST;0.0;0.0;0.0;0.6606691276909467;100351;0;4533;0;pytorch_conf9;configuration_23
TRAIN;0.0;0.0;0.0;0.6585826104723542;299625;0;13033;0;pytorch_conf10;configuration_23
TEST;0.0;0.0;0.0;0.6582035045079132;100351;0;4533;0;pytorch_conf10;configuration_23
TRAIN;0.0;0.0;0.0;0.6614273738743675;299623;0;13033;2;pytorch_conf11;configuration_23
TEST;0.0;0.0;0.0;0.6609697963677165;100351;0;4533;0;pytorch_conf11;configuration_23
TRAIN;0.0;0.0;0.0;0.6631236100036936;299622;0;13033;3;pytorch_conf12;configuration_23
TEST;0.0;0.0;0.0;0.6643881695961932;100350;0;4533;1;pytorch_conf12;configuration_23
TRAIN;0.0;0.0;0.0;0.6649587281423962;299625;0;13033;0;pytorch_conf13;configuration_23
TEST;0.0;0.0;0.0;0.6624403253031012;100351;0;4533;0;pytorch_conf13;configuration_23
TRAIN;0.0;0.0;0.0;0.6716952146857655;299625;0;13033;0;pytorch_conf14;configuration_23
TEST;0.0;0.0;0.0;0.6725210526933982;100351;0;4533;0;pytorch_conf14;configuration_23
TRAIN;0.6666666666666666;0.0001534566101434;0.0003068425897514;0.6655744873552105;299624;2;13031;1;pytorch_conf15;configuration_23
TEST;0.0;0.0;0.0;0.6657517344651929;100349;0;4533;2;pytorch_conf15;configuration_23
TRAIN;0.92;0.00176475101665;0.0035227446775922;0.7108105411054849;299623;23;13010;2;pytorch_conf16;configuration_23
TEST;0.0;0.0;0.0;0.6966411177156445;100344;0;4533;7;pytorch_conf16;configuration_23
TRAIN;0.0;0.0;0.0;0.6745057961240266;299625;0;13033;0;pytorch_conf13;configuration_23
TEST;0.0;0.0;0.0;0.6683424205525699;100351;0;4533;0;pytorch_conf13;configuration_23
TRAIN;1.0;0.0001534566101434;0.0003068661296509;0.7021763865616184;299625;2;13031;0;pytorch_conf1;configuration_15
TEST;0.0;0.0;0.0;0.6964045511967092;100350;0;4533;1;pytorch_conf1;configuration_15
TRAIN;1.0;0.0011509245760761;0.0022992029429797;0.7082917039224681;299625;15;13018;0;pytorch_conf17;configuration_23
TEST;0.0;0.0;0.0;0.6963576124880866;100347;0;4533;4;pytorch_conf17;configuration_23
TRAIN;0.7672413793103449;0.0068288191513849;0.0135371511141531;0.7188077997571135;299598;89;12944;27;pytorch_conf18;configuration_23
TEST;0.0217391304347826;0.00022060445621;0.0004367765887748;0.6899337725641899;100306;1;4532;45;pytorch_conf18;configuration_23
TRAIN;1.0;0.0001534566101434;0.0003068661296509;0.7123734607644194;299625;2;13031;0;pytorch_conf19;configuration_15
TEST;0.0;0.0;0.0;0.7018214940476202;100349;0;4533;2;pytorch_conf19;configuration_15
TRAIN;0.0;0.0;0.0;0.7124869679518642;299625;0;13033;0;pytorch_conf20;configuration_15
TEST;0.0;0.0;0.0;0.7026398602761796;100351;0;4533;0;pytorch_conf20;configuration_15
TRAIN;0.0;0.0;0.0;0.7223248162994096;299625;0;13033;0;pytorch_conf21;configuration_23
TEST;0.0;0.0;0.0;0.70118441187382;100351;0;4533;0;pytorch_conf21;configuration_23
TRAIN;0.010638297872340425;0.0002301849152152229;0.000450619601952685;0.5161931654446316;299346;3;13030;279;pytorch_conf22;configuration_23
TEST;0.03636363636363636;0.0008824178248400617;0.001723023906956709;0.5150145688830747;100245;4;4529;106;pytorch_conf22;configuration_23
